COUNTYA,TRACTA,BLKGRPA,BLOCKA,CODE,SDELMA,SDELMA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,TOT K-5 (Modified),TOT 6-8 (Modified),TOT ELEM (Modified),ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,TOT_ENROLL,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL
25,301,2,2000,253012000,1,2,448,349,34,0,54,0,4,7,4.103327309,4.096836147,8.200163456,0,0,0,0,0,0,0
25,301,2,2001,253012001,1,2,54,53,0,0,0,0,0,1,2.051663655,0,2.051663655,0,0,0,0,0,0,0
25,301,2,2002,253012002,1,2,85,72,0,0,9,0,1,3,1.025831827,2.926311533,3.952143361,0,0,0,0,0,0,0
25,301,2,2003,253012003,1,2,107,93,4,0,10,0,0,0,4.103327309,1.170524613,5.273851923,0,0,0,0,0,0,0
25,301,2,2004,253012004,1,2,96,87,3,0,5,0,1,0,2.051663655,2.341049227,4.392712881,0,0,0,0,0,0,0
25,301,3,3000,253013000,1,2,141,139,1,0,1,0,0,0,9.232486446,0,9.232486446,0,0,0,0,0,0,0
25,301,3,3001,253013001,1,2,123,105,3,0,14,0,1,0,2.051663655,0,2.051663655,0,0,0,0,0,0,0
25,301,3,3002,253013002,1,2,163,133,4,0,18,0,4,4,4.103327309,0.585262307,4.688589616,0,0,0,0,0,0,0
25,301,3,3003,253013003,1,2,47,47,0,0,0,0,0,0,2.051663655,1.170524613,3.222188268,0,0,0,0,0,0,0
25,301,3,3004,253013004,1,2,56,47,0,0,9,0,0,0,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,301,3,3005,253013005,1,2,70,66,0,0,0,0,4,0,5.129159137,0.585262307,5.714421443,0,0,0,0,0,0,0
25,301,3,3006,253013006,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,3,3007,253013007,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,3,3008,253013008,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,301,4,4000,253014000,1,2,313,218,30,0,19,0,30,16,12.30998193,9.949459214,22.25944114,0,0,0,0,0,0,0
25,301,4,4001,253014001,1,2,42,23,0,0,14,0,5,0,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,301,4,4002,253014002,1,2,171,119,4,0,40,0,6,2,2.051663655,0,2.051663655,0,0,0,0,0,0,0
25,301,4,4003,253014003,1,2,164,143,6,0,9,0,2,4,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,301,4,4004,253014004,1,2,22,22,0,0,0,0,0,0,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,302,1,1000,253021000,1,2,769,637,22,0,85,0,14,11,5.129159137,7.02314768,12.15230682,0,0,0,0,0,0,0
25,302,1,1001,253021001,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,302,1,1002,253021002,1,2,203,175,11,0,13,0,0,4,3.077495482,1.170524613,4.248020095,0,0,0,0,0,0,0
25,302,1,1003,253021003,1,2,183,157,3,0,12,0,11,0,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,302,1,1004,253021004,1,2,83,68,7,0,4,0,4,0,4.103327309,1.170524613,5.273851923,0,0,0,0,0,0,0
25,302,1,1005,253021005,1,2,83,68,5,0,5,0,0,5,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,302,1,1006,253021006,1,2,104,83,0,0,20,0,1,0,0,1.75578692,1.75578692,0,0,0,0,0,0,0
25,302,1,1007,253021007,1,2,122,99,0,0,23,0,0,0,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,302,2,2000,253022000,1,2,107,81,3,0,20,0,0,3,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,302,2,2001,253022001,1,2,410,286,15,0,84,0,13,12,7.180822792,7.02314768,14.20397047,0,0,0,0,0,0,0
25,302,2,2002,253022002,1,2,72,58,1,0,13,0,0,0,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,302,2,2003,253022003,1,2,40,24,5,0,7,0,4,0,3.077495482,2.926311533,6.003807015,0,0,0,0,0,0,0
25,302,2,2004,253022004,1,2,131,114,0,0,12,0,0,5,4.103327309,2.341049227,6.444376536,0,0,0,0,0,0,0
25,302,2,2005,253022005,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,302,2,2006,253022006,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,302,2,2007,253022007,1,2,323,228,9,2,71,0,4,9,6.154990964,4.096836147,10.25182711,0,0,0,0,0,0,0
25,302,2,2008,253022008,1,2,270,214,2,0,42,0,2,10,5.129159137,3.51157384,8.640732977,0,0,0,0,0,0,0
25,302,2,2009,253022009,1,2,55,44,10,0,1,0,0,0,3.077495482,1.75578692,4.833282402,0,0,0,0,0,0,0
25,302,2,2010,253022010,1,2,90,68,3,0,16,0,3,0,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,302,2,2011,253022011,1,2,92,63,0,0,25,0,0,4,2.051663655,1.170524613,3.222188268,0,0,0,0,0,0,0
25,401,1,1000,254011000,1,2,326,247,4,0,52,0,8,15,4.103327309,0.585262307,4.688589616,0,0,0,0,0,0,0
25,401,1,1001,254011001,1,2,184,150,4,0,24,0,1,5,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,401,1,1002,254011002,1,2,627,446,28,0,111,0,14,28,4.103327309,2.341049227,6.444376536,0,0,0,0,0,0,0
25,401,1,1003,254011003,1,2,361,262,16,4,49,0,16,14,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,401,2,2000,254012000,1,2,207,144,8,1,52,0,0,2,5.129159137,3.51157384,8.640732977,0,0,0,0,0,0,0
25,401,2,2001,254012001,1,2,260,207,4,0,41,0,3,5,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,401,2,2002,254012002,1,2,99,57,6,0,30,0,5,1,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,401,2,2003,254012003,1,2,126,82,3,1,32,0,7,1,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,401,2,2004,254012004,1,2,334,247,6,0,53,0,18,10,3.077495482,1.75578692,4.833282402,0,0,0,0,0,0,0
25,401,2,2005,254012005,1,2,112,81,2,0,24,0,2,3,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,401,3,3000,254013000,1,2,221,170,6,0,24,0,15,6,2.051663655,2.926311533,4.977975188,0,0,0,0,0,0,0
25,401,3,3001,254013001,1,2,204,159,1,0,38,0,4,2,16.41330924,5.852623067,22.2659323,0,0,0,0,0,0,0
25,401,3,3002,254013002,1,2,51,42,3,0,4,0,2,0,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,401,3,3003,254013003,1,2,192,123,1,0,55,0,4,9,6.154990964,3.51157384,9.666564804,0,0,0,0,0,0,0
25,401,3,3004,254013004,1,2,46,42,0,0,0,0,4,0,2.051663655,0,2.051663655,0,0,0,0,0,0,0
25,401,3,3005,254013005,1,2,313,252,10,0,46,0,0,5,11.2841501,6.437885373,17.72203547,0,0,0,0,0,0,0
25,401,3,3006,254013006,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,401,4,4000,254014000,1,2,76,52,0,0,22,0,1,1,5.129159137,0.585262307,5.714421443,0,0,0,0,0,0,0
25,401,4,4001,254014001,1,2,106,101,2,0,3,0,0,0,7.180822792,0,7.180822792,0,0,0,0,0,0,0
25,401,4,4002,254014002,1,2,787,502,21,0,252,0,4,8,4.103327309,2.341049227,6.444376536,0,0,0,0,0,0,0
25,401,4,4003,254014003,1,2,209,184,0,0,17,1,4,3,8.206654619,4.682098453,12.88875307,0,0,0,0,0,0,0
25,401,4,4004,254014004,1,2,216,185,4,0,23,0,0,4,10.25831827,2.926311533,13.18462981,0,0,0,0,0,0,0
25,401,4,4005,254014005,1,2,615,509,15,0,80,0,5,6,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,401,4,4006,254014006,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,402,1,1000,254021000,1,2,157,128,0,0,22,1,0,6,10.25831827,6.437885373,16.69620365,0,0,0,0,0,0,0
25,402,1,1001,254021001,1,2,176,142,2,0,15,0,12,5,11.2841501,8.193672294,19.47782239,0,0,0,0,0,0,0
25,402,1,1002,254021002,1,2,241,169,2,0,60,1,1,8,8.206654619,5.26736076,13.47401538,0,0,0,0,0,0,0
25,402,1,1003,254021003,1,2,115,84,3,0,26,0,2,0,4.103327309,2.926311533,7.029638843,0,0,0,0,0,0,0
25,402,1,1004,254021004,1,2,225,182,2,0,31,0,1,9,6.154990964,4.096836147,10.25182711,0,0,0,0,0,0,0
25,402,1,1005,254021005,1,2,129,91,1,0,34,0,2,1,3.077495482,0.585262307,3.662757789,0,0,0,0,0,0,0
25,402,1,1006,254021006,1,2,482,381,21,0,56,0,10,14,3.077495482,1.75578692,4.833282402,0,0,0,0,0,0,0
