COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,11100,3,1111003,5910,5910,254,254,1524,1432,0,0,45,0,0,47,0,47,49,41,0,26,70,195,1143,1524,631,47420500,87.19570533,47.99150915,135.1872145,50,0,0,0,616,616,1,0,0,0,1
1,11100,4,1111004,5910,5910,254,254,923,879,0,0,0,0,25,19,19,0,13,39,18,36,51,13,753,923,505,35890800,45.1366004,30.43363995,75.57024035,28.125,0,133,133,500,633,1,0,1,1,1
1,11200,1,1112001,5910,5910,254,254,1331,1248,0,0,74,0,0,9,0,9,34,123,0,9,30,33,1102,1331,578,43026800,34.87828213,26.3368038,61.21508593,38.75,0,0,0,0,0,0,0,0,0,0
1,11200,2,1112002,5910,5910,254,254,1231,1221,0,0,10,0,0,0,0,0,10,0,30,20,69,50,1052,1231,536,35773800,51.29159137,33.35995148,84.65154285,39.375,0,0,0,0,0,0,0,0,0,0
1,11200,3,1112003,5910,5910,254,254,421,371,0,0,0,0,0,50,0,50,84,34,8,46,65,25,159,421,273,16496400,14.36164558,4.096836147,18.45848173,3.75,0,0,0,0,0,0,0,0,0,0
1,11200,4,1112004,5910,5910,254,254,570,565,0,0,5,0,0,0,0,0,0,0,30,16,45,13,466,570,359,30775000,20.51663655,9.949459214,30.46609576,7.5,0,0,0,0,0,0,0,0,0,0
1,11300,1,1113001,4140,4140,48,48,677,677,0,0,0,0,0,0,0,0,0,42,0,0,64,29,542,677,315,22512800,13.33581376,9.364196907,22.70001066,8.125,0,0,0,0,0,0,0,0,0,0
1,11300,2,1113002,4140,4140,48,48,1170,1152,0,0,0,0,18,0,0,0,39,8,22,28,106,52,915,1170,629,45827100,44.11076858,29.26311533,73.37388391,30.625,0,0,0,0,0,0,0,0,0,0
1,11300,3,1113003,4140,4140,48,48,785,785,0,0,0,0,0,0,0,0,7,6,10,23,241,0,498,785,317,25252800,29.74912299,16.38734459,46.13646758,15.625,0,0,0,0,0,0,0,0,0,0
1,11400,1,1114001,4140,4140,48,48,616,583,0,0,0,0,0,33,0,33,0,31,28,37,42,7,471,616,337,25523400,18.46497289,13.46103305,31.92600595,16.875,0,0,0,0,0,0,0,0,0,0
1,11400,2,1114002,4140,4140,48,48,1205,1141,34,0,0,0,0,30,0,30,0,0,0,0,126,16,1063,1205,530,48740600,44.11076858,27.50732841,71.61809699,26.875,0,0,0,0,0,0,0,0,0,0
1,11400,3,1114003,4140,4140,48,48,452,452,0,0,0,0,0,0,0,0,8,0,0,0,0,0,444,452,222,17792600,8.206654619,7.608409987,15.81506461,9.375,0,0,0,0,0,0,0,0,0,0
1,11400,4,1114004,4140,4140,48,48,984,720,264,0,0,0,0,0,0,0,130,82,32,32,28,0,680,984,469,28669500,33.8524503,19.31365612,53.16610642,16.25,495,0,495,0,495,1,1,0,1,0
1,11500,1,1115001,4140,4140,48,48,731,698,0,0,13,0,20,0,0,0,20,30,0,20,23,9,629,731,353,23339400,27.69745934,18.14313151,45.84059085,24.375,0,0,0,0,0,0,0,0,0,0
1,11500,2,1115002,4140,4140,48,48,1318,925,309,0,0,0,0,84,0,84,63,339,40,115,92,63,606,1318,569,26315600,52.3174232,40.38309916,92.70052236,38.125,0,0,0,0,0,0,0,0,0,0
