COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
25,10204,2,25102042,2790,2790,1325,1031,15,0,144,0,69,66,0,66,35,111,33,31,63,52,407,732,399,33471500,5.129159137,0.585262307,5.714421443,113.75,0,0,0,0,0,0,0,0,0,0
25,10204,3,25102043,2790,2790,595,426,28,0,132,0,0,9,0,9,90,135,10,19,0,51,290,595,391,20154700,0,1.170524613,1.170524613,29.375,0,0,0,0,0,0,0,0,0,0
25,10300,1,25103001,2790,2790,1240,826,28,15,147,0,141,83,0,83,126,30,0,0,47,68,15,286,122,6505800,20.51663655,13.46103305,33.9776696,602.5,0,0,0,0,0,0,0,0,0,0
25,10300,2,25103002,2790,2790,4704,3982,381,0,275,0,24,42,0,42,25,16,0,17,0,0,124,182,158,26614100,1.025831827,0.585262307,1.611094134,791.875,0,821,821,1650,2471,1,0,1,1,1
25,10403,1,25104031,2790,2790,1173,625,171,12,327,0,38,0,0,0,422,146,63,59,185,13,285,1173,742,19782400,7.180822792,8.193672294,15.37449509,31.875,0,0,0,0,0,0,0,0,0,0
25,10403,2,25104032,2790,2790,1207,687,115,0,211,0,183,11,0,11,516,198,171,72,0,12,238,1207,669,20922800,12.30998193,4.682098453,16.99208038,40.625,0,0,0,0,0,0,0,0,0,0
25,10403,3,25104033,2790,2790,724,535,33,30,85,0,0,41,0,41,32,66,0,21,24,0,581,724,516,56579500,2.051663655,0.585262307,2.636925961,7.5,0,0,0,0,0,0,0,0,0,0
25,10404,1,25104041,2790,2790,2436,2027,56,0,305,0,16,32,13,19,921,427,195,73,0,0,572,2188,1086,50225300,17.43914107,4.096836147,21.53597721,130,0,0,0,0,0,0,0,0,0,0
25,10404,2,25104042,2790,2790,2941,2437,107,0,257,0,99,41,13,28,151,37,0,0,13,0,127,328,177,13854600,0,0,0,1075.625,0,0,0,0,0,0,0,0,0,0
25,10404,3,25104043,2790,2790,755,572,0,0,70,0,0,113,0,113,207,173,67,11,0,51,246,755,447,13085000,7.180822792,4.096836147,11.27765894,112.5,0,0,0,0,0,0,0,0,0,0
25,10405,1,25104051,2790,2790,1815,1396,121,0,161,0,124,13,0,13,49,48,0,24,10,0,0,131,70,9613300,2.051663655,0.585262307,2.636925961,268.125,0,0,0,776,776,2,0,0,0,2
25,10405,2,25104052,2790,2790,3100,2547,219,0,275,0,37,22,0,22,291,136,28,155,25,22,286,943,538,23571200,9.232486446,9.364196907,18.59668335,580,0,0,0,0,0,0,0,0,0,0
25,10405,3,25104053,2790,2790,479,236,135,0,108,0,0,0,0,0,0,164,154,29,48,11,73,479,360,5662400,16.41330924,4.096836147,20.51014538,63.125,0,0,0,0,0,0,0,0,0,0
25,10408,1,25104081,2790,2790,1248,996,21,0,180,0,39,12,0,12,373,93,16,0,51,9,706,1248,958,48356900,10.25831827,5.26736076,15.52567903,27.5,0,0,0,0,0,0,0,0,0,0
25,10500,1,25105001,2790,2790,1337,925,159,27,99,0,48,79,23,56,88,18,14,30,27,92,348,617,354,33834100,0,0,0,194.375,0,0,0,0,0,0,0,0,0,0
25,10500,2,25105002,2790,2790,1173,797,56,0,309,0,0,11,0,11,266,162,81,89,27,0,548,1173,644,41393600,6.154990964,1.170524613,7.325515578,28.125,0,0,0,0,0,0,0,0,0,0
25,10500,3,25105003,2790,2790,872,630,103,0,132,0,0,7,0,7,211,54,53,67,0,23,464,872,596,65716300,11.2841501,9.949459214,21.23360931,13.75,0,0,0,0,0,0,0,0,0,0
25,10600,1,25106001,2790,2790,1286,1185,24,0,77,0,0,0,0,0,105,0,0,0,0,0,1181,1286,867,142806800,10.25831827,5.852623067,16.11094134,5.625,0,0,0,0,0,0,0,0,0,0
25,10600,2,25106002,2790,2790,1554,1132,119,0,194,0,97,12,0,12,148,94,56,14,68,97,1077,1554,894,125806000,20.51663655,2.926311533,23.44294808,8.125,0,0,0,0,0,0,0,0,0,0
25,10701,1,25107011,2790,2790,902,783,36,0,63,0,20,0,0,0,162,0,40,18,0,0,552,772,511,54918000,7.180822792,4.682098453,11.86292124,123.75,0,0,0,0,0,0,0,0,0,0
25,10701,2,25107012,2790,2790,626,552,0,0,33,0,41,0,0,0,14,0,0,15,0,0,597,626,408,74082800,10.25831827,7.608409987,17.86672826,13.75,0,0,0,0,0,0,0,0,0,0
25,10701,3,25107013,2790,2790,762,548,0,11,179,0,0,24,0,24,96,46,18,57,41,0,504,762,479,45331800,0,0.585262307,0.585262307,3.125,0,0,0,0,0,0,0,0,0,0
25,10702,1,25107021,2790,2790,515,497,0,0,0,0,18,0,0,0,56,16,0,58,0,15,370,515,387,32254700,5.129159137,3.51157384,8.640732977,5,0,0,0,473,473,1,0,0,0,1
25,10702,2,25107022,2790,2790,1105,995,0,18,56,0,17,19,0,19,14,19,0,0,0,0,771,804,519,113280300,14.36164558,8.193672294,22.55531788,63.125,0,0,0,0,0,0,0,0,0,0
25,10702,3,25107023,2790,2790,1038,1011,0,0,7,0,0,20,0,20,22,39,0,0,0,0,977,1038,646,134908400,22.5683002,8.7789346,31.3472348,4.375,0,0,0,0,0,0,0,0,0,0
25,10801,1,25108011,2790,2790,1303,1131,86,0,29,0,14,43,29,14,53,0,0,0,0,0,167,220,195,29196700,5.129159137,5.26736076,10.3965199,93.75,0,0,0,0,0,0,0,0,0,0
25,10801,2,25108012,2790,2790,1045,897,0,0,148,0,0,0,0,0,33,0,19,0,32,0,961,1045,601,114683200,23.59413203,5.26736076,28.86149279,14.375,0,0,0,0,0,0,0,0,0,0
25,10801,3,25108013,2790,2790,1228,1077,0,0,102,0,35,14,0,14,18,0,0,0,0,0,1210,1228,743,116895000,9.232486446,3.51157384,12.74406029,6.25,0,0,0,0,0,0,0,0,0,0
25,10802,1,25108021,2790,2790,1082,1038,0,0,44,0,0,0,0,0,23,0,0,0,0,0,1059,1082,630,110913500,16.41330924,8.7789346,25.19224384,16.875,0,0,0,0,0,0,0,0,0,0
25,10802,2,25108022,2790,2790,1448,1289,0,0,142,0,0,17,0,17,266,108,47,0,0,12,914,1347,909,100465200,17.43914107,7.02314768,24.46228875,20.625,0,0,0,0,0,0,0,0,0,0
25,10802,3,25108023,2790,2790,603,568,35,0,0,0,0,0,0,0,46,0,0,0,11,80,466,603,387,52271200,14.36164558,8.193672294,22.55531788,5.625,0,0,0,0,0,0,0,0,0,0
25,20101,1,25201011,2790,2790,601,503,16,0,22,0,60,0,0,0,0,0,102,0,0,15,484,601,285,57181700,35.90411396,14.04629536,49.95040932,8.125,0,0,0,0,0,0,0,0,0,0
25,20101,2,25201012,2790,2790,1019,930,0,0,89,0,0,0,0,0,17,21,19,43,17,17,885,1019,717,118798300,20.51663655,8.193672294,28.71030884,10.625,0,0,0,0,0,0,0,0,0,0
25,20101,3,25201013,2790,2790,1413,1413,0,0,0,0,0,0,0,0,15,18,0,0,0,0,1380,1413,745,115475000,45.1366004,15.80208228,60.93868268,13.75,0,0,0,0,0,0,0,0,0,0
25,20101,4,25201014,2790,2790,1302,1248,16,23,15,0,0,0,0,0,16,32,0,0,16,0,1238,1302,786,104052600,52.3174232,11.11998383,63.43740702,10,0,0,0,0,0,0,0,0,0,0
25,20200,1,25202001,2790,2790,1303,1224,12,0,55,0,0,12,0,12,238,148,31,80,102,23,681,1303,807,57051700,7.180822792,5.852623067,13.03344586,23.125,0,0,0,0,0,0,0,0,0,0
25,20200,2,25202002,2790,2790,1021,852,60,50,38,0,21,0,0,0,148,69,0,0,0,52,752,1021,713,51042100,20.51663655,6.437885373,26.95452192,13.75,0,0,0,0,0,0,0,0,0,0
25,20200,3,25202003,2790,2790,1415,1373,0,0,35,0,0,7,7,0,212,89,14,13,19,0,1068,1415,707,70372900,13.33581376,4.096836147,17.4326499,9.375,0,0,0,0,0,0,0,0,0,0
25,20301,1,25203011,2790,2790,369,360,0,0,9,0,0,0,0,0,79,6,81,174,14,0,15,369,214,4412200,0,0,0,60,0,0,0,0,0,0,0,0,0,0
25,20301,2,25203012,2790,2790,1891,1261,46,0,541,0,13,30,14,16,174,80,101,69,26,0,1441,1891,966,100326500,27.69745934,4.682098453,32.37955779,4.375,0,0,0,0,0,0,0,0,0,0
25,20302,1,25203021,2790,2790,1056,896,0,0,160,0,0,0,0,0,87,12,12,0,76,19,850,1056,676,69006400,11.2841501,7.608409987,18.89256009,10.625,0,0,0,0,0,0,0,0,0,0
25,20303,1,25203031,2790,2790,788,637,26,0,125,0,0,0,0,0,0,11,0,25,28,0,724,788,599,83398500,10.25831827,1.75578692,12.01410519,3.75,0,0,0,0,0,0,0,0,0,0
25,20303,2,25203032,2790,2790,1074,385,470,37,27,8,88,59,34,25,40,0,0,0,0,0,110,150,118,21076100,3.077495482,1.75578692,4.833282402,67.5,0,0,0,0,0,0,0,0,0,0
25,20303,3,25203033,2790,2790,1281,966,99,0,216,0,0,0,0,0,13,162,40,0,0,0,1066,1281,739,121295500,42.05910492,11.70524613,53.76435106,18.125,0,0,0,0,0,0,0,0,0,0
25,30100,1,25301001,2790,2790,1126,1029,97,0,0,0,0,0,0,0,52,128,10,11,55,34,836,1126,696,44968200,4.103327309,3.51157384,7.61490115,7.5,0,0,0,0,0,0,0,0,0,0
25,30100,2,25301002,2790,2790,832,832,0,0,0,0,0,0,0,0,157,49,0,60,56,0,510,832,468,29788600,3.077495482,3.51157384,6.589069322,11.25,0,0,0,0,0,0,0,0,0,0
25,30200,1,25302001,2790,2790,1650,1500,12,0,111,0,12,15,0,15,98,271,46,12,15,25,1183,1650,1008,75158300,23.59413203,11.11998383,34.71411586,15,0,0,0,0,0,0,0,0,0,0
25,30300,1,25303001,2790,2790,1602,1570,0,0,20,0,0,12,0,12,49,63,66,32,53,20,1319,1602,1032,147703900,29.74912299,5.26736076,35.01648375,13.75,0,0,0,0,0,0,0,0,0,0
25,30300,2,25303002,2790,2790,1430,1280,7,0,71,0,16,56,0,56,0,48,43,37,0,12,1214,1354,653,111164200,25.64579568,7.608409987,33.25420567,2.5,0,0,0,0,0,0,0,0,0,0
25,30300,3,25303003,2790,2790,1018,869,57,0,24,0,0,68,14,54,165,90,30,0,9,0,724,1018,605,61951000,12.30998193,5.26736076,17.57734269,171.875,0,0,0,0,0,0,0,0,0,0
25,30300,4,25303004,2790,2790,548,407,41,0,78,0,0,22,0,22,23,62,0,28,0,18,417,548,343,41383900,3.077495482,1.170524613,4.248020095,1.25,0,0,0,0,0,0,0,0,0,0
25,30400,1,25304001,2790,2790,1465,1347,12,0,87,0,0,19,0,19,107,54,75,43,33,0,1153,1465,833,89385600,25.64579568,11.11998383,36.76577951,14.375,514,149,663,0,663,1,1,1,1,0
25,30400,2,25304002,2790,2790,776,776,0,0,0,0,0,0,0,0,121,32,33,60,20,0,510,776,545,36580100,7.180822792,1.75578692,8.936609712,10.625,0,0,0,0,0,0,0,0,0,0
25,30500,1,25305001,2790,2790,742,715,4,0,10,0,13,0,0,0,10,18,13,9,9,0,662,721,406,97853500,18.46497289,6.437885373,24.90285827,10.625,0,0,0,0,0,0,0,0,0,0
25,30500,2,25305002,2790,2790,993,932,23,0,22,0,0,16,0,16,110,36,10,27,35,16,759,993,578,52035500,10.25831827,2.341049227,12.5993675,17.5,0,0,0,0,0,0,0,0,0,0
